Topic,Descriptions,Topics_url
,"Mastodon is a free, decentralized, open-source microblogging network.",https://github.com/topics/3d
,3D modeling is the process of virtually developing the surface and structure of a 3D object.,https://github.com/topics/ajax
,Algorithms are self-contained sequences that carry out a variety of tasks.,https://github.com/topics/algorithm
,Amp is a non-blocking concurrency library for PHP.,https://github.com/topics/amphp
,Android is an operating system built by Google designed for mobile devices.,https://github.com/topics/android
,Angular is an open source web application platform.,https://github.com/topics/angular
,Ansible is a simple and powerful automation engine.,https://github.com/topics/ansible
,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.,https://github.com/topics/api
,Arduino is an open source hardware and software company and maker community.,https://github.com/topics/arduino
,ASP.NET is a web framework for building modern web apps and services.,https://github.com/topics/aspnet
,Atom is a open source text editor built with web technologies.,https://github.com/topics/atom
,An awesome list is a list of awesome things curated by the community.,https://github.com/topics/awesome
,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.,https://github.com/topics/aws
,Azure is a cloud computing service created by Microsoft.,https://github.com/topics/azure
,"Babel is a compiler for writing next generation JavaScript, today.",https://github.com/topics/babel
,Bash is a shell and command language interpreter for the GNU operating system.,https://github.com/topics/bash
,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.,https://github.com/topics/bitcoin
,"Bootstrap is an HTML, CSS, and JavaScript framework.",https://github.com/topics/bootstrap
,A bot is an application that runs automated tasks over the Internet.,https://github.com/topics/bot
,C is a general purpose programming language that first appeared in 1972.,https://github.com/topics/c
,Chrome is a web browser from the tech company Google.,https://github.com/topics/chrome
,Google Chrome Extensions are add-ons that allow users to customize their Chrome web browser.,https://github.com/topics/chrome-extension
,"A CLI, or command-line interface, is a console that helps users issue commands to a program.",https://github.com/topics/cli
,"Clojure is a dynamic, general-purpose programming language.",https://github.com/topics/clojure
,"Automate your code review with style, quality, security, and test‑coverage checks when you need them.",https://github.com/topics/code-quality
,Ensure your code meets quality standards and ship with confidence.,https://github.com/topics/code-review
,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,https://github.com/topics/compiler
,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.",https://github.com/topics/continuous-integration
,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.,https://github.com/topics/covid-19
,C++ is a general purpose and object-oriented programming language.,https://github.com/topics/cpp
,A cryptocurrency is a digital currency that uses cryptography.,https://github.com/topics/cryptocurrency
,"Crystal is a self-hosted, general purpose programming language.",https://github.com/topics/crystal
,"C# (""C sharp"") is an object-oriented and type-safe programming language.",https://github.com/topics/csharp
,Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of views.,https://github.com/topics/css
,Data structures are a way of organizing and storing data.,https://github.com/topics/data-structures
,Data visualization is the graphic representation of data and trends.,https://github.com/topics/data-visualization
,"A database is a structured set of data held in a computer, usually a server.",https://github.com/topics/database
,Deep Learning is an artificial neural network composed of many layers.,https://github.com/topics/deep-learning
,Secure and manage your third-party dependencies.,https://github.com/topics/dependency-management
,Streamline your code deployment so you can focus on your product.,https://github.com/topics/deployment
,Django is a web application framework for Python.,https://github.com/topics/django
,Docker is a platform built for developers to build and run applications.,https://github.com/topics/docker
,Documentation is a set of information that describes a product to its users.,https://github.com/topics/documentation
,".NET is a free, cross-platform, open source developer platform.",https://github.com/topics/dotnet
,Electron is a framework for building cross-platform desktop applications with web technology.,https://github.com/topics/electron
,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications.",https://github.com/topics/elixir
,"Emacs is an extensible, customizable, free text editor and computing environment.",https://github.com/topics/emacs
,Ember is a framework for creating web applications.,https://github.com/topics/ember
,"Emojis are graphic symbols that represent an emotion, object, or concept.",https://github.com/topics/emoji
,An emulator is any hardware or software that allows one computer to behave like another.,https://github.com/topics/emulator
,The pluggable linting utility for JavaScript and JSX.,https://github.com/topics/eslint
,Ethereum is a distributed public blockchain network.,https://github.com/topics/ethereum
,Express is a minimal Node.js framework for web and mobile applications.,https://github.com/topics/express
,Firebase is a mobile app development platform that provides data analysis and database web services for developers.,https://github.com/topics/firebase
,Firefox is an open source web browser from Mozilla.,https://github.com/topics/firefox
,Flask is a web framework for Python based on the Werkzeug toolkit.,https://github.com/topics/flask
,A font is a particular style of typeface for text.,https://github.com/topics/font
,A framework is a reusable set of libraries or classes in software.,https://github.com/topics/framework
,Front end is the programming and layout that people see and interact with.,https://github.com/topics/frontend
,A game engine is a software framework used to develop and create video games.,https://github.com/topics/game-engine
,Git is the most widely used version control system.,https://github.com/topics/git
,The GitHub API allows you to build applications that integrate with GitHub.,https://github.com/topics/github-api
,Go is a programming language built to resemble a simplified version of the C programming language.,https://github.com/topics/go
,Google LLC is an American multinational technology company that specializes in Internet-related services and products.,https://github.com/topics/google
,"Gradle is an open-source build tool that helps teams build, automate and deliver better software, faster.",https://github.com/topics/gradle
,GraphQL is a query language for APIs and a runtime for fulfilling those queries with your existing data.,https://github.com/topics/graphql
,Gulp is a toolkit for automating and streamlining web development.,https://github.com/topics/gulp
,Hacktoberfest is a month-long celebration of open source software.,https://github.com/topics/hacktoberfest
,"Haskell is a functional programming language with non-strict semantics, and strong static typing.",https://github.com/topics/haskell
,Homebrew is a package manager for macOS.,https://github.com/topics/homebrew
,"Homebridge is a utility for tying smart home devices together into Apple’s HomeKit framework, controlled by Siri.",https://github.com/topics/homebridge
,HTML is the fundamental markup language for webpages.,https://github.com/topics/html
,HTTP (Hypertext Transfer Protocol) is the standard for communication across the web.,https://github.com/topics/http
,Icon fonts contain glyphs and symbols in place of textual letters.,https://github.com/topics/icon-font
,iOS is the operating system for Apple's mobile products.,https://github.com/topics/ios
,IPFS is a peer-to-peer protocol for content-addressed sharing of data via a distributed file system.,https://github.com/topics/ipfs
,"Java is an object-oriented programming language used mainly for web, desktop, embedded devices and mobile applications.",https://github.com/topics/java
,JavaScript (JS) is a lightweight interpreted programming language with first-class functions.,https://github.com/topics/javascript
,"Jekyll is a simple, blog-aware static site generator.",https://github.com/topics/jekyll
,jQuery is a lightweight library that simplifies programming with JavaScript.,https://github.com/topics/jquery
,"JSON (JavaScript Object Notation) allows for easy interchange of data, often between a program and a database.",https://github.com/topics/json
,"Julia is a high-level, high-performance dynamic programming language for numerical computing.",https://github.com/topics/julia
,"Jupyter Notebooks are documents that contain live code, visualizations, and narrative text.",https://github.com/topics/jupyter-notebook
,Koa is an expressive middleware framework for Node.js servers that uses ES2017 async functions.,https://github.com/topics/koa
,Kotlin is a statically typed programming language for multiplatform applications.,https://github.com/topics/kotlin
,"Kubernetes is an open source system for automating deployment, scaling, and management of containerized applications.",https://github.com/topics/kubernetes
,The PHP Framework for Web Artisans.,https://github.com/topics/laravel
,LaTeX is a document preparation system.,https://github.com/topics/latex
,"A library is a collection of resources, often created to make programming a task simpler.",https://github.com/topics/library
,Linux is an open source kernel.,https://github.com/topics/linux
,Translation of a software interface and messages to another language plus to work with local cultures.,https://github.com/topics/localization
,"Lua is a lightweight, embeddable scripting language.",https://github.com/topics/lua
,Machine learning is a way of modeling and interpreting data that allows a piece of software to respond intelligently.,https://github.com/topics/machine-learning
,macOS is Apple's operating system.,https://github.com/topics/macos
,Markdown is a lightweight markup language.,https://github.com/topics/markdown
,"Mastodon is a free, decentralized, open-source microblogging network.",https://github.com/topics/mastodon
,Material design is a unified system of theory and tools for creating digital experiences developed by Google.,https://github.com/topics/material-design
,MATLAB is a programming platform for numerical computation and visualization.,https://github.com/topics/matlab
,Maven is a build automation tool used primarily for Java projects.,https://github.com/topics/maven
,Minecraft is a sandbox video game.,https://github.com/topics/minecraft
,"Mobile apps, mobile OS, mobile databases, & mobile testing frameworks.",https://github.com/topics/mobile
,"Monero is a private, fungible, open source, decentralized cryptocurrency.",https://github.com/topics/monero
,MongoDB is an open source NoSQL document-oriented database.,https://github.com/topics/mongodb
,Mongoose is a MongoDB object modeling tool designed to work in an asynchronous environment.,https://github.com/topics/mongoose
,"Monitor the impact of your code changes. Measure performance, track errors, and analyze your application.",https://github.com/topics/monitoring
,"The .NET MVVM framework for cross-platform solutions, including Xamarin.iOS, Xamarin.Android, Windows, and Mac.",https://github.com/topics/mvvmcross
,MySQL is an open source relational database management system.,https://github.com/topics/mysql
,NativeScript is a JavaScript-native mobile framework.,https://github.com/topics/nativescript
,"Nim is a statically typed, compiled, garbage-collected systems programming language.",https://github.com/topics/nim
,Natural language processing (NLP) is the study of how computers and humans interact.,https://github.com/topics/nlp
,Node.js is a tool for executing JavaScript in a variety of environments.,https://github.com/topics/nodejs
,A NoSQL database refers to a database whose storage format is modeled differently from relational databases.,https://github.com/topics/nosql
,npm is a package manager for JavaScript included with Node.js.,https://github.com/topics/npm
,"Objective-C is general purpose, object-oriented programming language used for macOS and iOS operating systems.",https://github.com/topics/objective-c
,OpenGL is a software interface that allows a programmer to communicate with graphics hardware.,https://github.com/topics/opengl
,An operating system is a program that manages a computer's programs and applications.,https://github.com/topics/operating-system
,Peer-to-Peer applications are decentralized or distributed.,https://github.com/topics/p2p
,A package manager is a set of tools that automates and manages computer software.,https://github.com/topics/package-manager
,Parsing is the process of analyzing a string of symbols conforming to the rules of a formal grammar.,https://github.com/topics/parsing
,Perl is a highly capable and feature-rich programming language.,https://github.com/topics/perl
,"Phaser is a fun, free, and fast 2D game framework for making HTML5 games for desktop and mobile web browsers.",https://github.com/topics/phaser
,PHP is a popular general-purpose scripting language that works particularly well for server-side web development.,https://github.com/topics/php
,"PICO-8 is a fantasy console for making, sharing and playing tiny games and other computer programs in Lua.",https://github.com/topics/pico-8
,Pixel art is a form of digital art where images are created and edited at the pixel level.,https://github.com/topics/pixel-art
,PostgreSQL is an open source database system.,https://github.com/topics/postgresql
,Project management is about building scope and executing on the project's goals.,https://github.com/topics/project-management
,Publishing is the dissemination of making information available to the general public through various mediums.,https://github.com/topics/publishing
,Progressive Web Apps are traditional web sites that are enhanced with native like features.,https://github.com/topics/pwa
,Python is a dynamically typed programming language.,https://github.com/topics/python
,"Qt, pronounced ""cute"", is a cross-platform application development framework.",https://github.com/topics/qt
,R is a free programming language and software environment for statistical computing and graphics.,https://github.com/topics/r
,Ruby on Rails (Rails) is a web application framework written in Ruby.,https://github.com/topics/rails
,The Raspberry Pi is a popular single-board computer.,https://github.com/topics/raspberry-pi
,Ratchet is a set of libraries to handle WebSockets asynchronously in PHP.,https://github.com/topics/ratchet
,React is an open source JavaScript library used for designing user interfaces.,https://github.com/topics/react
,React Native is a JavaScript mobile framework developed by Facebook.,https://github.com/topics/react-native
,"ReactiveUI is a composable, cross-platform model-view-viewmodel framework for all .NET platforms.",https://github.com/topics/reactiveui
,Redux is a predictable state container for JavaScript apps.,https://github.com/topics/redux
,A representational state transfer (REST) API is a way to provide compatibility between computer systems on the internet.,https://github.com/topics/rest-api
,Ruby is a scripting language designed for simplified object-oriented programming.,https://github.com/topics/ruby
,Rust is a systems programming language created by Mozilla.,https://github.com/topics/rust
,Sass is a stable extension to classic CSS.,https://github.com/topics/sass
,Scala is an object-oriented programming language.,https://github.com/topics/scala
,scikit-learn is a Python module for machine learning.,https://github.com/topics/scikit-learn
,"Software-defined networking (SDN) is an architecture for programmable, centrally managed networks.",https://github.com/topics/sdn
,"Cybersecurity is the protection of computer hardware, software, and data from theft, damage, and malicious intent.",https://github.com/topics/security
,A server is a program made to process requests and deliver data to clients.,https://github.com/topics/server
,Serverless architecture refers to apps that depend on third-party services or custom code.,https://github.com/topics/serverless
,"A shell is a command-line tool, designed to be run by the Unix shell.",https://github.com/topics/shell
,"Sketch is a vector graphics editor for Apple's macOS, used primarily for user interface and icon design.",https://github.com/topics/sketch
,SpaceVim is a community-driven distribution of the vim editor that allows managing your plugins in layers.,https://github.com/topics/spacevim
,Spring Boot is a coding and configuration model for Java applications.,https://github.com/topics/spring-boot
,"SQL is a standard language for storing, retrieving and manipulating data in databases.",https://github.com/topics/sql
,Storybook is a UI development environment for your UI components.,https://github.com/topics/storybook
,Get your team and customers the help they need.,https://github.com/topics/support
,"Swift is a modern programming language focused on safety, performance, and expressivity.",https://github.com/topics/swift
,Symfony is a set of reusable PHP components and a web framework.,https://github.com/topics/symfony
,"Telegram is a non-profit, cloud-based instant messaging service.",https://github.com/topics/telegram
,TensorFlow is an open source software library for numerical computation.,https://github.com/topics/tensorflow
,The terminal is an interface in which you can type and execute text-based commands.,https://github.com/topics/terminal
,"An infrastructure-as-code tool for building, changing, and versioning infrastructure safely and efficiently.",https://github.com/topics/terraform
,Eliminate bugs and ship with more confidence by adding these tools to your workflow.,https://github.com/topics/testing
,"Twitter is an online news and social networking service where users post and interact with messages, known as “Tweets”.",https://github.com/topics/twitter
,TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.,https://github.com/topics/typescript
,Ubuntu is a Linux-based operating system.,https://github.com/topics/ubuntu
,"Unity is a game engine used to create 2D/3D video games, and simulations for computers, consoles, and mobile devices.",https://github.com/topics/unity
,"Unreal Engine is used to create awesome games, and experiences for PC, mobile, console, VR, and AR.",https://github.com/topics/unreal-engine
,Vagrant is an open-source software product for building and maintaining portable virtual software development environments.,https://github.com/topics/vagrant
,Vim is a console-run text editor program.,https://github.com/topics/vim
,Virtual reality is an artificial environment displayed through digital means.,https://github.com/topics/virtual-reality
,Vue.js is a JavaScript framework for building interactive web applications.,https://github.com/topics/vue
,Wagtail is an open source CMS written in Python and built on the Django web framework.,https://github.com/topics/wagtail
,Web Components are a set of web platform APIs developers can use to create custom HTML tags.,https://github.com/topics/web-components
,A web application is any computer program that performs a specific function by using a web browser as its client.,https://github.com/topics/webapp
,Webpack is a bundler that takes modules with dependencies and creates static assets.,https://github.com/topics/webpack
,Windows is Microsoft's GUI-based operating system.,https://github.com/topics/windows
,WordPlate is a modern WordPress stack which simplifies WordPress development.,https://github.com/topics/wordplate
,"WordPress is a popular content management system, used for websites and blogs.",https://github.com/topics/wordpress
,Xamarin is a platform for developing iOS and Android applications.,https://github.com/topics/xamarin
,XML is subset of SGML (Standard Generalized Markup Language) used to store and transport data.,https://github.com/topics/xml
